"","Schedule ID","TaskName","Experiment ID","SubjectID","SubjectTrialNumber","WordColour","Word","Colour","Ink_name","TrialType","Language","Stroop","Block","Sound","Accuracy","RT"
"64",16496957,"AccuracyCoding",59570,4515754,64,"spider_orange","spider","orange","orange","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-orange-64-2.weba","Correct",1121
"65",16496957,"AccuracyCoding",59570,4515754,65,"horse_pink","horse","pink","pink","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-pink-65-2.weba","Correct",1810
"66",16496957,"AccuracyCoding",59570,4515754,66,"spider_blue","spider","blue","blue","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-blue-66-2.weba","Correct",1205
"67",16496957,"AccuracyCoding",59570,4515754,67,"hasan_pink","hasan","pink","zahri","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-zahri-67-2.weba","Correct",1351
"68",16496957,"AccuracyCoding",59570,4515754,68,"ankabout_blue","ankabout","blue","azraq","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-azraq-68-2.weba","Correct",1081
"69",16496957,"AccuracyCoding",59570,4515754,69,"samkeh_orange","samkeh","orange","bourtoukalij","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-bourtoukalij-69-2.weba","Correct",650
"70",16496957,"AccuracyCoding",59570,4515754,70,"horse_pink","horse","pink","pink","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-pink-70-2.weba","Correct",963
"71",16496957,"AccuracyCoding",59570,4515754,71,"fish_orange","fish","orange","orange","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-orange-71-2.weba","Correct",1134
"72",16496957,"AccuracyCoding",59570,4515754,72,"spider_blue","spider","blue","blue","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-blue-72-2.weba","Correct",596
"73",16496957,"AccuracyCoding",59570,4515754,73,"fish_pink","fish","pink","pink","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-pink-73-2.weba","Correct",1212
"74",16496957,"AccuracyCoding",59570,4515754,74,"spider_blue","spider","blue","blue","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-blue-74-2.weba","Correct",1226
"75",16496957,"AccuracyCoding",59570,4515754,75,"fish_orange","fish","orange","orange","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-orange-75-2.weba","Correct",1050
"76",16496957,"AccuracyCoding",59570,4515754,76,"ankabout_pink","ankabout","pink","zahri","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-zahri-76-2.weba","No/Other Sound",NA
"77",16496957,"AccuracyCoding",59570,4515754,77,"samkeh_blue","samkeh","blue","azraq","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-azraq-77-2.weba","Correct",1138
"78",16496957,"AccuracyCoding",59570,4515754,78,"ankabout_pink","ankabout","pink","zahri","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-zahri-78-2.weba","Correct",NA
"79",16496957,"AccuracyCoding",59570,4515754,79,"hasan_blue","hasan","blue","azraq","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-azraq-79-2.weba","Correct",1117
"80",16496957,"AccuracyCoding",59570,4515754,80,"ankabout_orange","ankabout","orange","bourtoukalij","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-bourtoukalij-80-2.weba","Correct",1283
"81",16496957,"AccuracyCoding",59570,4515754,81,"samkeh_blue","samkeh","blue","azraq","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-azraq-81-2.weba","No/Other Sound",NA
"82",16496957,"AccuracyCoding",59570,4515754,82,"hasan_pink","hasan","pink","zahri","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-zahri-82-2.weba","Correct",1409
"83",16496957,"AccuracyCoding",59570,4515754,83,"ankabout_orange","ankabout","orange","bourtoukalij","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-bourtoukalij-83-2.weba","Correct",1256
"84",16496957,"AccuracyCoding",59570,4515754,84,"fish_blue","fish","blue","blue","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-blue-84-2.weba","Correct",1122
"85",16496957,"AccuracyCoding",59570,4515754,85,"hasan_orange","hasan","orange","bourtoukalij","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-bourtoukalij-85-2.weba","Correct",NA
"86",16496957,"AccuracyCoding",59570,4515754,86,"samkeh_blue","samkeh","blue","azraq","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-azraq-86-2.weba","Correct",NA
"87",16496957,"AccuracyCoding",59570,4515754,87,"spider_orange","spider","orange","orange","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-orange-87-2.weba","Correct",2091
"88",16496957,"AccuracyCoding",59570,4515754,88,"hasan_pink","hasan","pink","zahri","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-zahri-88-2.weba","Incorrect Language",1685
"89",16496957,"AccuracyCoding",59570,4515754,89,"fish_blue","fish","blue","blue","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-blue-89-2.weba","Incorrect Language",1482
"90",16496957,"AccuracyCoding",59570,4515754,90,"spider_pink","spider","pink","pink","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-pink-90-2.weba","Correct",1491
"91",16496957,"AccuracyCoding",59570,4515754,91,"hasan_blue","hasan","blue","azraq","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-azraq-91-2.weba","Correct",1030
"92",16496957,"AccuracyCoding",59570,4515754,92,"samkeh_orange","samkeh","orange","bourtoukalij","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-bourtoukalij-92-2.weba","Correct",1047
"93",16496957,"AccuracyCoding",59570,4515754,93,"spider_pink","spider","pink","pink","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-pink-93-2.weba","Correct",1238
"94",16496957,"AccuracyCoding",59570,4515754,94,"fish_blue","fish","blue","blue","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-blue-94-2.weba","Correct",1431
"95",16496957,"AccuracyCoding",59570,4515754,95,"hasan_pink","hasan","pink","zahri","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-zahri-95-2.weba","No/Other Sound",NA
"96",16496957,"AccuracyCoding",59570,4515754,96,"samkeh_orange","samkeh","orange","bourtoukalij","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-bourtoukalij-96-2.weba","Correct",965
"97",16496957,"AccuracyCoding",59570,4515754,97,"spider_blue","spider","blue","blue","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-blue-97-2.weba","Correct",1025
"98",16496957,"AccuracyCoding",59570,4515754,98,"hasan_pink","hasan","pink","zahri","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-zahri-98-2.weba","Correct",1607
"99",16496957,"AccuracyCoding",59570,4515754,99,"spider_blue","spider","blue","blue","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-blue-99-2.weba","No/Other Sound",2226
"100",16496957,"AccuracyCoding",59570,4515754,100,"horse_pink","horse","pink","pink","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-pink-100-2.weba","Correct",1491
